Brief Name,Client,Shortlisted Agency,Agency Skills,Agency Industries,Service Description,Agency Description,Agency services,Other Services,Vision,Industry Experience,Agency Locations,Brief Region,Status,Winning Agency,Number of Agencies Shortlisted Brief,Client_WA_Interaction,Project extension with same agency,Client selected agency themselves from marketplace,Right geography / time zone,Strong skill set match,Deep / relevant sector expertise,Good cultural fit,Right price level,Strong track record,Match Score,Lead_George Patten,Lead_Gideon Hyde,Lead_Hannah Fraser,Lead_Kate Walker,Lead_Paul Bowman,Lead_Peter Sayburn,Lead_Phil Kohler,Lead_Robin Scarborough,Sub Brief Taxonomy,Main Brief Taxonomy
GI Retained Squad,Aviva,Hedgehog Lab,,,"Digital products, mobile and web",#1 Mobile App & Web App Development Studio,"(UX/UI_Design), (Strategic_Design), (Software_Development)","(Mobile_App_Development), (Web_Development), (Digital_Product_Development)",To be the most respected digital product studio in the world ,"Financial Services,Insurance,Fintech,Energy,Retail,Telco,Utilities,Technology,Pensions","United Kingdom, United States",united kingdom,Started,Hedgehog Lab,2,3.0,0,0.0,1,1,1,0,1,1,0.7906976744186045,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
GI Retained Squad,Aviva,xDesign,"(Business_Strategy), (Customer_Strategy), (Data_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Sustainability_Strategy), (Customer_Data_Platforms), (Dashboarding_&_Measurement), (Data_Analytics), (Data_Visualisation), (Future_Trends), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CMS_/_DXP), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Government), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Software Engineering Agency,We accelerate global brands digital product delivery.,(Software_Development),"(Software_Engineering), (Mobile_App_Development), (Web_App_Development)",,,"United Kingdom, United States",united kingdom,Started,Hedgehog Lab,2,3.0,0,0.0,1,1,1,0,1,1,0.7906976744186045,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Expert Videos x5 London,Aviva,SAND visuals,"(Creative_Production), (Video_Production), (Animation), (Editing), (Graphic_Design), (Illustration), (Motion_Graphics), (Production_Management), (TV_Production), (Video_Production)","(FMCG), (Manufacturing), (Retail), (Technology), (Information_and_Media)",A stop motion production house,We stop thumbs and spark conversations. Clever and neat stop-motion animations for ads and branded content. ,"(Creative_&_Production), (Social_&_Content)","(Stop_Motion_Animation), (Stop_Frame_Animation)",making amazing visual brand stories and sharing them with the world,"FMCG,Utilities,Real Estate","United Kingdom, United States",united kingdom,Started,Shoreditch Design Studio,2,7.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,1,0,0,0,(Video_Production),"(Production Services), (Advertising_Brand & Creative)"
Expert Videos x5 London,Aviva,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Started,Shoreditch Design Studio,2,7.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,(Video_Production),"(Production Services), (Advertising_Brand & Creative)"
Quote Me Happy Content,Aviva,Buddy Media,"(Brand_Strategy), (Creative_Production), (Digital_Campaign_Development), (Social_Media), (Digital_Performance_Marketing), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (SEO_/_SEM), (Social_&_Influencer_Marketing)",(B2B),"A data-led, results-focused performance marketing agency.","A data-led, results-focused performance marketing agency.","(Marketing_Planning), (Digital_Marketing), (Social_&_Content)",(Experiential_&_Performance_Influencer),Pioneering social first marketing to deliver viral social activations,"Entertainment,Technology,Drinks,Hospitality,Financial Services",United Kingdom,united kingdom,Archived,Buddy Media,1,8.0,0,1.0,0,1,0,1,0,1,0.4883720930232557,0,0,0,0,1,0,0,0,(Search_Engine_Optimization/Search_Engine_Marketing),(Media_Public Relations & Events)
MOCO marketing Jul-Oct extension,Aviva,Buddy Media,"(Brand_Strategy), (Creative_Production), (Digital_Campaign_Development), (Social_Media), (Digital_Performance_Marketing), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (SEO_/_SEM), (Social_&_Influencer_Marketing)",(B2B),"A data-led, results-focused performance marketing agency.","A data-led, results-focused performance marketing agency.","(Marketing_Planning), (Digital_Marketing), (Social_&_Content)",(Experiential_&_Performance_Influencer),Pioneering social first marketing to deliver viral social activations,"Entertainment,Technology,Drinks,Hospitality,Financial Services",United Kingdom,united kingdom,Archived,Buddy Media,1,8.0,1,0.0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,1,0,0,"(Social_Media), (Creative_Production), (Social_and_Influencer_Marketing)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
DW E2E Prototype,Aviva,NMD+,,,,,,,,,United Kingdom,united kingdom,Archived,NMD+,1,3.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,(User_Experience/User_Interface_Design),(Experience & Design)
SHIRO follow on,Aviva,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Archived,Shoreditch Design Studio,1,7.0,1,0.0,1,1,0,0,0,0,0.3720930232558139,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Aviva Advisor Prop Messaging,Aviva,Reed Words,"(Brand_Strategy), (Copywriting), (Corporate_Communications), (EVP_/_Employer_Branding), (Internal_Communications), (Purpose), (Values_&_Culture)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Not-for-Profit), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Verbal branding and copy writing ,We make brands and business stronger through language.,"(Marketing_Planning), (Social_&_Content)","(Copywriting), (Naming), (Tone_of_Voice), (Brand_Voice), (Verbal_Identity)",Making Brands and Businesses Stronger Through Words,"FMCG,Retail,Non-Profit","United Kingdom, United States",united kingdom,Archived,Reed Words,1,5.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,(Copywriting),(Advertising_Brand & Creative)
Brand Escape Room Design,Aviva,S+Co,"(Spatial_Design), (Brand_Strategy), (Creative_Production)",(B2B),"Creating brands, experiences and spaces","Creating brands, experiences and spaces","(Brand_Strategy), (Creative_&_Production), (Spatial_&_Event_Design)",,We connect brands and experiences – across digital and physical spaces,"Retail,Financial Services,Food,Drinks,Technology,Professional Services,Entertainment,Hospitality",United Kingdom,united kingdom,Archived,Innovate Live,3,5.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,1,0,0,0,(Brand_Strategy),(Advertising_Brand & Creative)
Brand Escape Room Design,Aviva,The Park,"(Spatial_Design), (Advertising), (Brand_Strategy), (Creative_Production), (Experiential_Marketing)",(B2B),Award-winning independent experiential agency,Award-winning independent experiential agency,"(Brand_Strategy), (Creative_&_Production), (Spatial_&_Event_Design)",(Experiential_Marketing),,,"Australia, United Kingdom",united kingdom,Archived,Innovate Live,3,5.0,0,0.0,0,1,0,0,0,1,0.3255813953488372,0,0,0,0,1,0,0,0,(Brand_Strategy),(Advertising_Brand & Creative)
Brand Escape Room Design,Aviva,Innovate Live,"(Customer_Experience_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Blockchain_/_Web_3), (Mobile_App_Development), (Software_Development), (Web_Development), (Advertising), (Creative_Production), (Digital_Campaign_Development), (Video_Production), (Events), (Experiential_Marketing), (Internal_Communications), (Learning_&_Development)",(Entertainment),Bespoke Technical Solutions,Bespoke Technical Solutions,"(Creative_&_Production), (Software_Development), (Digital_Marketing)",,,,United Kingdom,united kingdom,Archived,Innovate Live,3,5.0,0,0.0,0,0,0,0,1,1,0.2325581395348837,0,0,0,0,1,0,0,0,(Brand_Strategy),(Advertising_Brand & Creative)
MOCO content,Aviva,Buddy Media,"(Brand_Strategy), (Creative_Production), (Digital_Campaign_Development), (Social_Media), (Digital_Performance_Marketing), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (SEO_/_SEM), (Social_&_Influencer_Marketing)",(B2B),"A data-led, results-focused performance marketing agency.","A data-led, results-focused performance marketing agency.","(Marketing_Planning), (Digital_Marketing), (Social_&_Content)",(Experiential_&_Performance_Influencer),Pioneering social first marketing to deliver viral social activations,"Entertainment,Technology,Drinks,Hospitality,Financial Services",United Kingdom,united kingdom,Archived,Buddy Media,1,8.0,1,0.0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,1,0,0,"(Social_Media), (Creative_Production)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
PRIS Video Production,Aviva,Viewpoint Studios,"(Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Animation), (Audio_Production), (Editing), (Graphic_Design), (Illustration), (Motion_Graphics), (Photography), (Production_Management), (TV_Production), (Video_Production), (Corporate_Communications), (Digital_Performance_Marketing), (Events), (Media_Strategy_&_Planning), (Social_&_Influencer_Marketing), (Employee_Experience), (Internal_Communications), (Learning_&_Development), (Recruitment_Campaigns)","(Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Healthcare), (Hospitality), (Manufacturing), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Start-up)",Advertising and commercial photography and film,Inspired photography and film,"(Creative_&_Production), (Social_&_Content)",(Advertising_and_commercial_photography_and_film),,,United Kingdom,united kingdom,Archived,Viewpoint Studios,1,3.0,0,1.0,0,0,0,0,0,0,0.0232558139534883,0,0,0,0,1,0,0,0,"(Video_Production), (Animation)","(Production Services), (Advertising_Brand & Creative)"
Life QtB journey optimisation,Aviva,G-W,"(Experience_Strategy), (New_Venture_Strategy), (Product_Strategy), (Future_Trends), (Qualitative_Research), (Quantitative_Research), (Brand_Design), (Customer_Experience_Design), (UX_/_UI_Design), (eCommerce_&_Marketplaces), (Software_Development), (Web_Development), (Brand_Strategy), (Creative_Production), (Copywriting), (SEO_/_SEM), (Purpose), (Values_&_Culture)","(Automotive), (Construction), (Fashion), (Financial_Services), (Grocery), (Professional_Services), (Travel_and_Tourism), (Scale-up)",Grafikwerket is an independent brand and product studio helping fast-growing companies design for scale.,Grafikwerket is an independent brand and product studio helping fast-growing companies design for scale.,"(Brand_Strategy), (UX/UI_Design)",,Independent brand and product studio helping fast-growing companies design for scale.,,"Australia, United Kingdom",united kingdom,Archived,Shoreditch Design Studio,3,7.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Life QtB journey optimisation,Aviva,NMD+,,,,,,,,,United Kingdom,united kingdom,Archived,Shoreditch Design Studio,3,7.0,0,0.0,1,1,0,1,0,1,0.5581395348837208,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Life QtB journey optimisation,Aviva,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Archived,Shoreditch Design Studio,3,7.0,0,0.0,1,1,0,0,1,0,0.4651162790697674,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Financial Wellbeing,Aviva,xDesign,"(Business_Strategy), (Customer_Strategy), (Data_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Sustainability_Strategy), (Customer_Data_Platforms), (Dashboarding_&_Measurement), (Data_Analytics), (Data_Visualisation), (Future_Trends), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CMS_/_DXP), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Government), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Software Engineering Agency,We accelerate global brands digital product delivery.,(Software_Development),"(Software_Engineering), (Mobile_App_Development), (Web_App_Development)",,,"United Kingdom, United States",united kingdom,Archived,xDesign,3,1.0,0,0.0,1,1,0,0,1,1,0.5581395348837208,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Financial Wellbeing,Aviva,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Archived,xDesign,3,1.0,0,0.0,1,1,0,0,1,1,0.5581395348837208,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
Financial Wellbeing,Aviva,Loomery,"(Customer_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Product_Strategy), (Dashboarding_&_Measurement), (Data_Analytics), (MarTech_Consulting), (Qualitative_Research), (Segmentation), (Customer_Experience_Design), (Proposition_Design), (Service_Design), (UX_/_UI_Design), (AR_/_VR), (Artificial_Intelligence), (Blockchain_/_Web_3), (CRM_Implementation), (eCommerce_&_Marketplaces), (MarTech_Implementation), (Mobile_App_Development), (Software_Development), (Web_Development), (Change_Management), (Employee_Experience)","(Alcoholic_Beverages), (Automotive), (Education), (Entertainment), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Government), (Grocery), (Professional_Services), (Retail), (Scale-up), (Start-up)","Trusted product teams, when you need them.","Trusted product teams, when you need them.","(Research_&_Insight), (UX/UI_Design), (Software_Development)","(We_provide_end-to-to_support_for_identifying_digital_product_strategies), (delivering_great_products_and_building_digital_product_capabilities.)",,,United Kingdom,united kingdom,Archived,xDesign,3,1.0,0,0.0,1,1,0,0,0,0,0.3255813953488372,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
DW Personas,Aviva,NMD+,,,,,,,,,United Kingdom,united kingdom,Archived,Blicx,3,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,(Qualitative_Research),(Data_Insight & Research)
DW Personas,Aviva,I-AM,"(Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (Spatial_Design), (UX_/_UI_Design), (Brand_Strategy), (Graphic_Design)","(Education), (Financial_Services), (Food_and_Beverage_Services), (Healthcare), (Hospitality), (Pharmaceutical), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Telecommunications), (Scale-up), (Start-up)","design life-led experiences that delight customers, build brand advocacy and drive business performance.",I-AM create People Inspired Experiences.,"(Brand_Strategy), (Spatial_&_Event_Design), (UX/UI_Design)","(Brand_Identity), (Graphic_Design), (Brand_Communications), (Experience_Design), (Interior_Architecture)",Brand Experiences That Make Your Heart Beat,"Financial Services,Insurance,Energy,FMCG,Retail,Telco,Technology,Pensions","United Kingdom, United States",united kingdom,Archived,Blicx,3,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,(Qualitative_Research),(Data_Insight & Research)
DW Personas,Aviva,Blicx,"(Dashboarding_&_Measurement), (Data_Analytics), (Qualitative_Research), (Quantitative_Research), (Research_Tools), (Segmentation)","(Automotive), (Financial_Services), (FMCG), (Gaming), (Technology), (Information_and_Media), (Start-up)",Consumer Market Research in Gaming & Youth Markets,Consumer Market Research in Gaming & Youth Markets,"(Research_&_Insight), (Sustainability_Strategy)",,Help you understand the WHY behind Gamer & Consumer Motivations,"Gaming,Entertainment,FMCG,Retail,Esports",United Kingdom,united kingdom,Archived,Blicx,3,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,(Qualitative_Research),(Data_Insight & Research)
Group Life Content,Aviva,Notepad Studio,"(Business_Strategy), (CRM_Strategy), (Customer_Strategy), (Sustainability_Strategy), (Dashboarding_&_Measurement), (Qualitative_Research), (Quantitative_Research), (Research_Tools), (Segmentation), (Brand_Design), (Graphic_Design), (UX_/_UI_Design), (Web_Development), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Corporate_Communications), (Events), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (PR), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Construction), (Education), (FMCG), (Gaming), (Hospitality), (Not-for-Profit), (Professional_Services), (Real_Estate), (Technology), (Information_and_Media), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Scale-up), (Start-up)",Strategic branding agency,Strategic branding agency,"(Brand_Strategy), (Creative_&_Production), (UX/UI_Design), (B_Corp)","(Motion_Graphics), (Campaign_Strategy_&_Delivery)",Crystal-clear strategy and jaw-dropping creativity that makes your brand unbeatable,"Fashion,Food,Real Estate",United Kingdom,united kingdom,Archived,Orange Panther Collective,3,1.0,0,0.0,0,0,0,1,1,0,0.2790697674418604,0,0,0,0,1,0,0,0,"(Social_Media), (Creative_Production)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
Group Life Content,Aviva,Orange Panther Collective,"(Business_Strategy), (Digital_Strategy), (Product_Strategy), (Qualitative_Research), (Quantitative_Research), (Segmentation), (Brand_Design), (Graphic_Design), (Proposition_Design), (UX_/_UI_Design), (Web_Development), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production)","(Alcoholic_Beverages), (Beauty), (Entertainment), (FMCG), (Food_and_Beverage_Services), (Grocery), (QSR_(Quick_Service_Restaurant)), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Travel_and_Tourism), (Scale-up), (Start-up)",Integrated Communications Agency,A holistic creative communications agency,"(Brand_Strategy), (Creative_&_Production), (Media_Buying)","(Brand_strategy), (Marketing_Strategy), (Integrated_Creative), (TV/AV_production), ()","We help scale-ups  go from zero to hero through big brand thinking but with a small agency can do, agile and cost effective attitude.","Media,Entertainment,Hospitality,Technology,Health,Start-ups",United Kingdom,united kingdom,Archived,Orange Panther Collective,3,1.0,0,0.0,0,0,0,1,1,0,0.2790697674418604,0,0,0,0,1,0,0,0,"(Social_Media), (Creative_Production)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
Group Life Content,Aviva,2050London,"(Brand_Design), (Graphic_Design), (Proposition_Design), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Copywriting), (Video_Production), (Purpose), (Values_&_Culture)","(Alcoholic_Beverages), (Automotive), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Government), (Grocery), (Healthcare), (Not-for-Profit), (Professional_Services), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Scale-up), (Start-up)",Changing the future with postively bonkers ideas,Changing the future with positively bonkers ideas,"(Brand_Strategy), (Proposition_Design), (Creative_&_Production), (Social_&_Content)",(Brand_campaigns),Where the positively bonkers ideas change the future fast.,"Health,Retail,FMCG,Tech,Advertising,Food,Non-Profit,Travel",United Kingdom,united kingdom,Archived,Orange Panther Collective,3,1.0,0,0.0,0,1,0,0,0,1,0.3255813953488372,0,0,0,0,1,0,0,0,"(Social_Media), (Creative_Production)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
Game of Risk,Aviva,Innovate Live,"(Customer_Experience_Design), (Spatial_Design), (UX_/_UI_Design), (AR_/_VR), (Blockchain_/_Web_3), (Mobile_App_Development), (Software_Development), (Web_Development), (Advertising), (Creative_Production), (Digital_Campaign_Development), (Video_Production), (Events), (Experiential_Marketing), (Internal_Communications), (Learning_&_Development)",(Entertainment),Bespoke Technical Solutions,Bespoke Technical Solutions,"(Creative_&_Production), (Software_Development), (Digital_Marketing)",,,,United Kingdom,united kingdom,Archived,Innovate Live,1,5.0,0,0.0,0,1,0,0,1,0,0.3720930232558139,0,0,0,0,1,0,0,0,(Experiential_Marketing),(Media_Public Relations & Events)
MOCO Marketing (November/December),Aviva,Buddy Media,"(Brand_Strategy), (Creative_Production), (Digital_Campaign_Development), (Social_Media), (Digital_Performance_Marketing), (Experiential_Marketing), (Media_Buying), (Media_Strategy_&_Planning), (SEO_/_SEM), (Social_&_Influencer_Marketing)",(B2B),"A data-led, results-focused performance marketing agency.","A data-led, results-focused performance marketing agency.","(Marketing_Planning), (Digital_Marketing), (Social_&_Content)",(Experiential_&_Performance_Influencer),Pioneering social first marketing to deliver viral social activations,"Entertainment,Technology,Drinks,Hospitality,Financial Services",United Kingdom,united kingdom,Archived,Buddy Media,1,8.0,1,0.0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,1,0,0,"(Social_Media), (Creative_Production), (Social_and_Influencer_Marketing)","(Media_Public Relations & Events), (Advertising_Brand & Creative)"
DW Overarching Vision,Aviva,Studiospace,,,,,,,,,,united kingdom,Archived,Studiospace,1,1.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,1,0,0,0,(Proposition_Design),(Experience & Design)
Customer Engagement Triggers,Aviva,GH05T Ltd.,"(Data_Analytics), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production)","(Alcoholic_Beverages), (Beauty), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Gaming), (Grocery), (Healthcare), (Pharmaceutical), (Start-up)",We are a social media agency operating in the brand space.,We are a social media agency operating in the brand space.,"(Brand_Strategy), (Creative_&_Production), (Marketing_Planning), (Social_&_Content), (Media_Buying)",,,,"United Kingdom, United States",united kingdom,Archived,Reed Words,2,5.0,0,0.0,0,0,0,1,1,0,0.2790697674418604,0,0,0,0,1,0,0,0,"(Copywriting), (Proposition_Design)","(Advertising_Brand & Creative), (Experience & Design), (Customer & Business Strategy)"
Customer Engagement Triggers,Aviva,Reed Words,"(Brand_Strategy), (Copywriting), (Corporate_Communications), (EVP_/_Employer_Branding), (Internal_Communications), (Purpose), (Values_&_Culture)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Not-for-Profit), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Verbal branding and copy writing ,We make brands and business stronger through language.,"(Marketing_Planning), (Social_&_Content)","(Copywriting), (Naming), (Tone_of_Voice), (Brand_Voice), (Verbal_Identity)",Making Brands and Businesses Stronger Through Words,"FMCG,Retail,Non-Profit","United Kingdom, United States",united kingdom,Archived,Reed Words,2,5.0,0,0.0,0,1,0,0,1,1,0.4651162790697674,0,0,0,0,1,0,0,0,"(Copywriting), (Proposition_Design)","(Advertising_Brand & Creative), (Experience & Design), (Customer & Business Strategy)"
Home sustainability (smoke test),Aviva,Good Innovation,"(Growth_&_Innovation_Strategy), (Sustainability_Strategy), (Future_Trends), (Qualitative_Research), (Quantitative_Research), (Customer_Experience_Design), (Service_Design), (UX_/_UI_Design), (Employee_Experience), (Purpose), (Values_&_Culture)","(Financial_Services), (Not-for-Profit), (Scale-up), (Start-up)",Strategy & Proposition,We are the Social Impact Innovation Consultancy,"(Research_&_Insight), (Proposition_Design), (Sustainability_Strategy), (B_Corp)",(Social_Impact_Innovation),"We help organisations that want to make a difference do it smarter, faster and with greater impact by finding innovative solutions to the world’s most difficult social problems","Non-Profit,Financial Services,Sustainability",United Kingdom,united kingdom,Archived,Good Innovation,1,2.0,1,0.0,0,0,0,0,0,0,0.0465116279069767,0,0,0,0,0,0,1,0,(User_Experience/User_Interface_Design),(Experience & Design)
OneAviva Narrative,Aviva,Rip + Tear,,,,We are an innovation-led experience design company,"(UX/UI_Design), (Strategic_Design)",(innovation),,,United Kingdom,united kingdom,Archived,Rip + Tear,1,1.0,0,0.0,1,1,0,1,1,0,0.6046511627906976,0,0,0,0,0,0,1,0,(Brand_Strategy),(Advertising_Brand & Creative)
